image,velocity,angular_velocity,x,y
2.png,0.0,0.0,-6.99688500999916,-7.299949442560647
3.png,0.0,0.0,-6.994021335947467,-7.299903851738125
4.png,0.0,0.0,-6.9913143955979695,-7.299860813505729
5.png,0.034999999999999996,0.0,-6.989273996221005,-7.299828313689394
6.png,0.039999999999999994,0.0,-6.986057381111152,-7.299777081310716
7.png,0.04499999999999999,0.0,-6.98097007755844,-7.299696035473809
8.png,0.04999999999999999,0.0,-6.966206856659115,-7.299460686271247
9.png,0.05,0.0,-6.95600878797936,-7.299297979555405
10.png,0.05,0.0,-6.9443051221103165,-7.299111092713045
11.png,0.05,0.0,-6.936146253117531,-7.298980756868082
12.png,0.055,0.0,-6.929870689371828,-7.298880468003894
13.png,0.06,0.0,-6.915944016269346,-7.298657747528626
14.png,0.060000000000000005,0.0,-6.904045677421204,-7.298467370604077
15.png,0.060000000000000005,0.0,-6.894527272228183,-7.298315004295151
16.png,0.07500000000000001,0.0,-6.871945198626869,-7.29795316129133
17.png,0.08,0.0,-6.855627030656095,-7.297691451811717
18.png,0.085,0.0,-6.844421322775455,-7.297511666043392
19.png,0.09,0.0,-6.835425404983232,-7.297367252667103
20.png,0.09,0.0,-6.823186693697231,-7.297170751494155
21.png,0.09,0.0,-6.81400755887331,-7.2970232607427965
22.png,0.09,0.0,-6.804829307864883,-7.296875748364326
23.png,0.09,0.0,-6.795650890941719,-7.296728176727567
24.png,0.09,0.0,-6.795650890941719,-7.296728176727567
25.png,0.09,0.0,-6.792591263019428,-7.296678989796794
26.png,0.09,0.0,-6.789531533385084,-7.296629789225851
27.png,0.09,0.0,-6.77729258491915,-7.2964328405458865
28.png,0.09,0.0,-6.75893578365419,-7.296137301253798
29.png,0.09,0.0,-6.752816532132265,-7.296038765867745
30.png,0.09,0.0,-6.746697077465613,-7.295940137432603
31.png,0.095,0.0,-6.740577606972836,-7.295841514153204
32.png,0.09999999999999999,0.0,-6.717996418788688,-7.295477432094201
33.png,0.09999999999999999,0.0,-6.667003095420204,-7.294654110471569
34.png,0.09999999999999999,0.0,-6.653404390001369,-7.294434280158237
35.png,0.09999999999999999,0.0,-6.643206200678616,-7.2942693264909035
36.png,0.09999999999999999,0.0,-6.629608334415541,-7.2940493636803865
37.png,0.09999999999999999,0.0,-6.616009471720654,-7.293829208195346
38.png,0.09999999999999999,0.0,-6.602411718191786,-7.293608975842795
39.png,0.09999999999999999,0.0,-6.599012318254971,-7.2935539097359
40.png,0.09999999999999999,0.0,-6.59561288624103,-7.293498843545109
41.png,0.09999999999999999,0.0,-6.588813905974042,-7.293388664336107
42.png,0.09999999999999999,0.0,-6.575215095089555,-7.293168173846989
43.png,0.09999999999999999,0.0,-6.551418989926119,-7.29278213434776
44.png,0.09999999999999999,0.0,-6.548019484994257,-7.292726954541343
45.png,0.09999999999999999,0.0,-6.534420715002045,-7.2925061275727865
46.png,0.09999999999999999,0.0,-6.524222230543299,-7.292340480003527
47.png,0.09999999999999999,0.0,-6.50042573842646,-7.291953685480542
48.png,0.09999999999999999,0.0,-6.476628927732291,-7.2915665017496405
49.png,0.09999999999999999,0.0,-6.473229478197471,-7.2915111894486175
50.png,0.09999999999999999,0.0,-6.4596313255769555,-7.291289794334101
51.png,0.09999999999999999,0.0,-6.4392339634985385,-7.2909574482013895
52.png,0.09999999999999999,0.0,-6.418836944949289,-7.290624892409379
53.png,0.09999999999999999,0.0,-6.412037600192692,-7.290513927957723
54.png,0.09999999999999999,0.0,-6.40183901098709,-7.290347534526716
55.png,0.09999999999999999,0.0,-6.361044680096553,-7.289681204861501
56.png,0.09999999999999999,0.0,-6.350846277691624,-7.2895144485211425
57.png,0.09999999999999999,0.0,-6.33724829149129,-7.289292071889532
58.png,0.09999999999999999,0.0,-6.327049395820197,-7.2891251436187705
59.png,0.09999999999999999,0.0,-6.316850898114879,-7.288958211227856
60.png,0.09999999999999999,0.0,-6.3066524570887355,-7.288791181857385
61.png,0.09999999999999999,0.0,-6.296453949650721,-7.28862414205949
62.png,0.09999999999999999,0.0,-6.286255083340876,-7.2884569570780116
63.png,0.09999999999999999,0.0,-6.272657055549459,-7.288234034867498
64.png,0.09999999999999999,0.0,-6.272657055549459,-7.288234034867498
65.png,0.09999999999999999,0.0,-6.269257572607522,-7.288178268427719
66.png,0.09999999999999999,0.0,-6.259059115211279,-7.288010980811617
67.png,0.09999999999999999,0.0,-6.248860445320233,-7.287843590731834
68.png,0.09999999999999999,0.0,-6.2250637450295745,-7.287452789990619
69.png,0.09999999999999999,0.0,-6.20466650375713,-7.28711758375945
70.png,0.09999999999999999,0.0,-6.184269474859133,-7.2867821035154625
71.png,0.09999999999999999,0.0,-6.170671510897469,-7.286558342562414
72.png,0.09999999999999999,0.0,-6.153673634406974,-7.286278435458781
73.png,0.09999999999999999,0.0,-6.133276755953651,-7.2859423362611855
74.png,0.09999999999999999,0.0,-6.123078073479263,-7.285774186635345
75.png,0.09999999999999999,0.0,-6.1128793774171735,-7.285605968759583
76.png,0.09999999999999999,0.0,-6.099281445779166,-7.285381569515554
77.png,0.09999999999999999,0.0,-6.085683450674432,-7.285157115381375
78.png,0.09999999999999999,0.0,-6.075484644254978,-7.284988647090041
79.png,0.09999999999999999,0.0,-6.031290882954808,-7.284258012456702
80.png,0.09999999999999999,0.0,-6.0210924702616015,-7.284089244891688
81.png,0.09999999999999999,0.0,-6.010893929259418,-7.28392039531601
82.png,0.09999999999999999,0.0,-6.000695398255264,-7.283751523183306
83.png,0.09999999999999999,0.0,-5.987097179468878,-7.283526208870349
84.png,0.09999999999999999,0.0,-5.976898751583578,-7.283357153041736
85.png,0.09999999999999999,0.0,-5.966700262285023,-7.28318803822492
86.png,0.09999999999999999,0.0,-5.953102109132301,-7.28296243385494
87.png,0.09999999999999999,0.0,-5.953102109132301,-7.28296243385494
