image,velocity,angular_velocity,x,y
0.png,0.0,0.0,-6.999785620510092,-7.300000006779708
1.png,0.01,0.0,-6.999275750048247,-7.299999550972526
2.png,0.01,0.0,-6.9972368033472145,-7.299997992124803
3.png,0.02,0.0,-6.9950279036166965,-7.299996287496693
4.png,0.02,0.0,-6.9917991279216025,-7.29999375076811
5.png,0.03,0.0,-6.986872431970589,-7.299989814583765
6.png,0.034999999999999996,0.0,-6.980751254059967,-7.299984959043924
7.png,0.045,0.0,-6.971744275577054,-7.299977735935397
8.png,0.05,0.0,-6.962397439519996,-7.2999702964279445
9.png,0.05,0.0,-6.950496165514034,-7.2999606580324
10.png,0.05,0.0,-6.938594819681528,-7.299951001622486
11.png,0.05,0.0,-6.9266935431332755,-7.299941352214261
12.png,0.05,0.0,-6.918192625201846,-7.299934350946389
13.png,0.05,0.0,-6.909691726034641,-7.299927400014527
14.png,0.05,0.0,-6.8994906141775285,-7.299918961393127
15.png,0.05,0.0,-6.887589336666791,-7.299908967888941
16.png,0.05,0.0,-6.877388177382324,-7.299900536062857
17.png,0.05,0.0,-6.860386350727505,-7.2998861775817545
18.png,0.05,0.0,-6.850185243771913,-7.299877578868147
19.png,0.05,0.0,-6.833183368093036,-7.2998630536819045
20.png,0.05,0.0,-6.8229823125920275,-7.299854293489146
21.png,0.05,0.0,-6.811080968226319,-7.299844047416036
22.png,0.05,0.0,-6.800879903086349,-7.299835177529067
23.png,0.05,0.0,-6.790678770632031,-7.29982633338564
24.png,0.05,0.0,-6.7804777147730055,-7.299817366803461
25.png,0.05,0.0,-6.7685763532446686,-7.299806900815751
26.png,0.06,0.0,-6.75463707524427,-7.299794611029431
27.png,0.060000000000000005,0.0,-6.7403579470637345,-7.299781931767008
28.png,0.07,0.0,-6.720130649791169,-7.29976381750039
29.png,0.08,0.0,-6.70262373192791,-7.299748023888024
30.png,0.08,0.0,-6.68358245111429,-7.2997308794482585
31.png,0.08,0.0,-6.664541119636349,-7.299713523328399
32.png,0.08,0.0,-6.6482200118363615,-7.299698684376639
33.png,0.08,0.0,-6.631898920352423,-7.2996836858102645
34.png,0.08,0.0,-6.612857626094289,-7.2996661430712795
35.png,0.08,0.0,-6.5856557886629865,-7.2996409670332865
36.png,0.08,0.0,-6.5693346516380196,-7.2996256784483835
37.png,0.08,0.0,-6.5475731865444065,-7.29960531921688
38.png,0.08,0.0,-6.531252144271675,-7.299589882520617
39.png,0.08,0.0,-6.514931022691047,-7.299574462559099
40.png,0.08,0.0,-6.49860986308088,-7.299558931002629
41.png,0.08,0.0,-6.482288824270841,-7.299543353097926
42.png,0.08,0.0,-6.465967694379905,-7.2995277117072686
43.png,0.08,0.0,-6.4469263672522725,-7.299509406112113
44.png,0.08,0.0,-6.422444718102292,-7.299485578239741
45.png,0.08,0.0,-6.39796309908363,-7.299461752453913
46.png,0.08,0.0,-6.378921783880109,-7.299443128321674
47.png,0.08,0.0,-6.36260070779811,-7.299426972339676
48.png,0.08,0.0,-6.343559413611717,-7.299408182929909
49.png,0.08,0.0,-6.327238340254843,-7.299391949811968
50.png,0.08,0.0,-6.302756624617637,-7.299367470901312
51.png,0.08,0.0,-6.289155719696035,-7.299353731731959
52.png,0.08,0.0,-6.272834631838089,-7.299337378388917
53.png,0.08,0.0,-6.253793348225603,-7.2993180518994025
54.png,0.08,0.0,-6.240192455907257,-7.299304237570887
55.png,0.08,0.0,-6.221151077055347,-7.299284776196292
56.png,0.08,0.0,-6.2048300606827445,-7.29926805473453
57.png,0.08,0.0,-6.185788700945042,-7.299248451824836
58.png,0.08,0.0,-6.169467667304214,-7.299231615486737
59.png,0.08,0.0,-6.153146517606839,-7.299214613120726
60.png,0.08,0.0,-6.136825472094682,-7.299197599934447
61.png,0.08,0.0,-6.117784128406316,-7.29917767522255
62.png,0.08,0.0,-6.101463073284359,-7.299160539740766
63.png,0.08,0.0,-6.082421804879825,-7.299140378901452
64.png,0.08,0.0,-6.066100649259,-7.2991230886805605
65.png,0.08,0.0,-6.049779580273837,-7.299105678545438
66.png,0.08,0.0,-6.0307382475718185,-7.299085342808223
67.png,0.08,0.0,-6.014417209091982,-7.2990678142453564
68.png,0.08,0.0,-5.998096046400836,-7.299050276194386
69.png,0.08,0.0,-5.976334627124894,-7.299026677863956
70.png,0.08,0.0,-5.957293337383766,-7.299005946704814
71.png,0.08,0.0,-5.940972200631977,-7.298988129092217
72.png,0.08,0.0,-5.91377042872167,-7.298958289410694
73.png,0.08,0.0,-5.894729100121672,-7.2989372133687445
74.png,0.08,0.0,-5.881128178380514,-7.298922230816354
75.png,0.08,0.0,-5.859366731787253,-7.2988979976236426
76.png,0.08,0.0,-5.840325470731864,-7.298876735868884
77.png,0.08,0.0,-5.821284153472389,-7.2988552756880924
78.png,0.08,0.0,-5.8049630155209275,-7.298836929842016
79.png,0.08,0.0,-5.777761200251048,-7.298806079505597
80.png,0.08,0.0,-5.761440108156632,-7.298787580853715
81.png,0.08,0.0,-5.742398844550528,-7.298765803873133
82.png,0.08,0.0,-5.726077749710945,-7.2987470745662915
83.png,0.08,0.0,-5.707036404883791,-7.29872512463307
84.png,0.08,0.0,-5.690715363196398,-7.298706309470641
85.png,0.08,0.0,-5.674394226658627,-7.298687371982287
86.png,0.08,0.0,-5.649912585588229,-7.298658822223148
87.png,0.08,0.0,-5.6281511394885815,-7.2986333475527605
88.png,0.08,0.0,-5.606389656809919,-7.2986077506759885
89.png,0.08,0.0,-5.58462817349581,-7.298582017452152
90.png,0.08,0.0,-5.560146563153451,-7.2985529284190545
91.png,0.08,0.0,-5.5411052552845055,-7.298530156167949
92.png,0.08,0.0,-5.524784174904747,-7.298510668029164
93.png,0.08,0.0,-5.50846310135194,-7.298491031660481
94.png,0.08,0.0,-5.492141984657817,-7.298471349375192
95.png,0.08,0.0,-5.478541057327704,-7.298454964373835
96.png,0.08,0.0,-5.464940132009272,-7.298438391493609
97.png,0.08,0.0,-5.435018105973596,-7.298401864650527
98.png,0.08,0.0,-5.413256630304442,-7.298375225561862
99.png,0.08,0.0,-5.383334637205018,-7.298338363334324
100.png,0.08,0.0,-5.367013523950344,-7.2983181946346045
101.png,0.08,0.0,-5.342531856309276,-7.298287696563198
102.png,0.08,0.0,-5.323490598051929,-7.298263969523734
103.png,0.08,0.0,-5.299008923070027,-7.298233181311251
104.png,0.08,0.0,-5.279967674739116,-7.298209304931595
105.png,0.08,0.0,-5.258206244183716,-7.298181751825635
106.png,0.08,0.0,-5.241885067450604,-7.298161010576495
107.png,0.08,0.0,-5.222843807562871,-7.298136773163111
108.png,0.08,0.0,-5.203802591446002,-7.298112328117222
109.png,0.08,0.0,-5.187481415375676,-7.2980914147034035
110.png,0.08,0.0,-5.162999796126665,-7.298059844387085
111.png,0.08,0.0,-5.146678722749657,-7.298038781305742
112.png,0.08,0.0,-5.124917262979859,-7.298010514140712
113.png,0.08,0.0,-5.105875998417578,-7.297985680220199
114.png,0.08,0.0,-5.089554836535064,-7.297964271898493
115.png,0.08,0.0,-5.073233801507831,-7.297942858985658
116.png,0.08,0.0,-5.054192490771833,-7.297917747561265
117.png,0.08,0.0,-5.037871394092903,-7.297896262664359
118.png,0.08,0.0,-5.013389721648325,-7.29786380384059
119.png,0.08,0.0,-4.986187905524932,-7.29782743376452
120.png,0.08,0.0,-4.969866821214061,-7.29780562841451
121.png,0.08,0.0,-4.956265934580011,-7.297787371360166
122.png,0.08,0.0,-4.939944783666761,-7.297765355343769
123.png,0.08,0.0,-4.920903562652744,-7.297739675642839
